timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1488729394134,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-47,text,true,,3396,422,62,78,18,0,0
1488729393133,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-47,,true,,3396,422,62,78,18,1002,0
1488729394173,16,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-22,text,true,,2664,451,62,78,16,0,0
1488729393172,16,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-22,,true,,2664,451,62,78,16,1001,0
1488729394308,21,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-48,text,true,,3348,422,62,78,21,0,1
1488729393307,21,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-48,,true,,3348,422,62,78,21,1001,1
1488729394424,15,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-23,text,true,,2664,451,62,78,15,0,1
1488729393423,15,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-23,,true,,2664,451,62,78,15,1001,1
1488729394494,18,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-24,text,true,,2664,451,62,78,18,0,1
1488729393494,18,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-24,,true,,2664,451,62,78,18,1019,1
1488729394610,55,3 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-7,text,true,,2649,901,16,78,55,0,1
1488729390610,55,Add or edit address book,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-7,,true,,2649,901,16,78,55,4001,1
1488729394693,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-50,text,true,,3348,422,62,78,18,0,1
1488729394693,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-49,text,true,,3398,422,62,78,18,0,1
